Timestamp,Gyro X,Gyro Y,Gyro Z,Acc X,Acc Y,Acc Z,Motor M2,Motor M3,Battery Level
57.158,-0.7916572690010071,0.27811726927757263,-1.893356442451477,-0.1987583190202713,0.06422611325979233,0.9947969317436218,,,
,,,,,,,32767.0,32767.0,90.0
57.168,-0.781586766242981,-0.5289350748062134,0.24378708004951477,-0.20216988027095795,0.07188581675291061,0.9806615114212036,,,
,,,,,,,32767.0,32767.0,90.0
57.178,-1.3580166101455688,-0.8419045805931091,1.5850050449371338,-0.20295602083206177,0.06614029407501221,0.9702682495117188,,,
,,,,,,,32767.0,32767.0,90.0
57.188,-1.3295248746871948,-1.420816421508789,2.6905150413513184,-0.20508593320846558,0.0562053881585598,0.9621310234069824,,,
,,,,,,,32767.0,32767.0,90.0
57.198,-0.8062440156936646,-1.355792760848999,2.9167022705078125,-0.21190321445465088,0.04428957402706146,0.9544360041618347,,,
,,,,,,,32767.0,32767.0,90.0
57.208,-0.26217448711395264,-1.0629339218139648,2.543088912963867,-0.21163342893123627,0.04209163784980774,0.953091025352478,,,
,,,,,,,32767.0,32767.0,90.0
57.218,-0.08653292059898376,-1.0772722959518433,3.1321139335632324,-0.21004511415958405,0.04880697280168533,0.9569418430328369,,,
,,,,,,,32767.0,32767.0,90.0
57.228,-0.3057989478111267,-1.1184641122817993,4.103336811065674,-0.21433064341545105,0.05663232505321503,0.9601317644119263,,,
,,,,,,,32767.0,32767.0,90.0
57.238,-0.39776644110679626,-0.9870755672454834,5.172814846038818,-0.2153131067752838,0.06174274906516075,0.9681508541107178,,,
,,,,,,,32767.0,32767.0,90.0
57.248,-1.1496506929397583,-0.6938999891281128,5.603633880615234,-0.21137773990631104,0.0591268427670002,0.9674680829048157,,,
,,,,,,,32767.0,32767.0,90.0
57.258,-0.7061097621917725,0.11672600358724594,5.09629487991333,-0.20657189190387726,0.04608184099197388,0.9649847149848938,,,
,,,,,,,32767.0,32767.0,90.0
57.268,-0.18165536224842072,0.09179805964231491,4.539512634277344,-0.20850297808647156,0.04038405045866966,0.9670112729072571,,,
,,,,,,,32767.0,32767.0,90.0
57.278,-0.08880089968442917,-0.18525663018226624,4.2723894119262695,-0.20586545765399933,0.04434676468372345,0.9759701490402222,,,
,,,,,,,32767.0,32767.0,90.0
57.288,-0.29829883575439453,0.056990157812833786,4.510190010070801,-0.20837609469890594,0.05251223221421242,0.9712350368499756,,,
,,,,,,,32767.0,32767.0,90.0
57.298,-0.9069970846176147,0.9867124557495117,5.340770244598389,-0.21206748485565186,0.05896119400858879,0.9610282182693481,,,
,,,,,,,32767.0,32767.0,90.0
57.308,-1.3788481950759888,0.26393091678619385,5.786403179168701,-0.20610496401786804,0.050485044717788696,0.9636424779891968,,,
,,,,,,,32767.0,32767.0,90.0
57.318,-1.800449252128601,0.4880460798740387,5.368209362030029,-0.20132586359977722,0.03592222183942795,0.9616795182228088,,,
,,,,,,,32767.0,32767.0,90.0
57.328,-1.656833291053772,0.6124711036682129,4.358107089996338,-0.19776681065559387,0.027955437079072,0.9604282379150391,,,
,,,,,,,32767.0,32767.0,90.0
57.338,-1.2648804187774658,0.45264387130737305,3.3029062747955322,-0.18931397795677185,0.029875271022319794,0.9678387641906738,,,
,,,,,,,32767.0,32767.0,90.0
57.348,-1.5159862041473389,-0.26632195711135864,2.9541542530059814,-0.18748904764652252,0.04181135073304176,0.9750816226005554,,,
,,,,,,,32767.0,32767.0,90.0
57.358,-1.8733476400375366,-0.523071825504303,3.3869705200195312,-0.18787544965744019,0.05732547119259834,0.9847114682197571,,,
,,,,,,,32767.0,32767.0,90.0
57.368,-2.5320985317230225,-0.7705500721931458,3.7581558227539062,-0.1846453845500946,0.06613589823246002,0.9923247694969177,,,
,,,,,,,32767.0,32767.0,90.0
57.378,-2.854379177093506,-1.2241445779800415,4.382794380187988,-0.17829038202762604,0.07068471610546112,0.9868839383125305,,,
,,,,,,,32767.0,32767.0,90.0
57.388,-2.985487937927246,-1.0210154056549072,3.9836270809173584,-0.1817561686038971,0.07087961584329605,0.9810035824775696,,,
,,,,,,,32767.0,32767.0,90.0
57.398,-2.70613956451416,-1.2585363388061523,3.1795125007629395,-0.18196545541286469,0.0696205198764801,0.9733150601387024,,,
,,,,,,,32767.0,32767.0,90.0
57.408,-2.451240301132202,-1.2857662439346313,2.763533592224121,-0.18113496899604797,0.07382099330425262,0.9668310284614563,,,
,,,,,,,32767.0,32767.0,90.0
57.418,-2.855213165283203,-0.3223118185997009,3.220641851425171,-0.18140657246112823,0.08749502897262573,0.9584897756576538,,,
,,,,,,,32767.0,32767.0,90.0
57.428,-3.269469976425171,-0.08299019932746887,3.8353147506713867,-0.17423181235790253,0.09253793209791183,0.9468756914138794,,,
,,,,,,,32767.0,32767.0,90.0
57.438,-3.5655429363250732,0.46213287115097046,4.491610527038574,-0.16952486336231232,0.0890582799911499,0.940748393535614,,,
,,,,,,,32767.0,32767.0,90.0
57.448,-4.093840599060059,1.1134393215179443,4.494447231292725,-0.16432936489582062,0.08016732335090637,0.9385256171226501,,,
,,,,,,,32767.0,32767.0,90.0
57.458,-3.9174888134002686,1.3023449182510376,4.093147277832031,-0.15394331514835358,0.0704851821064949,0.9402382969856262,,,
,,,,,,,32767.0,32767.0,90.0
57.468,-3.940700054168701,1.9247633218765259,3.517115831375122,-0.14659057557582855,0.06413964182138443,0.9422202110290527,,,
,,,,,,,32767.0,32767.0,90.0
57.478,-4.16249418258667,2.6411731243133545,3.333313226699829,-0.1417618840932846,0.058061905205249786,0.9517673254013062,,,
,,,,,,,32767.0,32767.0,90.0
57.488,-5.2037200927734375,2.292388916015625,3.2319223880767822,-0.14026768505573273,0.051667556166648865,0.9652126431465149,,,
,,,,,,,32767.0,32767.0,90.0
57.498,-5.77928352355957,1.800301432609558,3.338010787963867,-0.14472201466560364,0.04290078580379486,0.9773024320602417,,,
,,,,,,,32767.0,32767.0,90.0
57.508,-6.376240253448486,1.671326756477356,2.9314911365509033,-0.14398084580898285,0.020625758916139603,0.9908571243286133,,,
,,,,,,,32767.0,32767.0,90.0
57.518,-6.796752452850342,0.841003954410553,1.6511833667755127,-0.147247314453125,0.0006374949589371681,1.0082058906555176,,,
,,,,,,,32767.0,32767.0,90.0
57.528,-6.839147090911865,-0.3379862308502197,0.4425826370716095,-0.15175043046474457,-0.017689161002635956,1.018837809562683,,,
,,,,,,,32767.0,32767.0,90.0
57.538,-7.273288249969482,-1.1073402166366577,-1.163997769355774,-0.15608136355876923,-0.025914577767252922,1.0262995958328247,,,
,,,,,,,32767.0,32767.0,90.0
57.548,-7.808708190917969,-1.8271335363388062,-1.8921918869018555,-0.16060200333595276,-0.0316498838365078,1.0335068702697754,,,
,,,,,,,32767.0,32767.0,90.0
57.558,-8.354586601257324,-2.38210129737854,-2.7611734867095947,-0.1682284027338028,-0.03874833509325981,1.0422351360321045,,,
,,,,,,,32767.0,32767.0,90.0
57.568,-8.5232572555542,-3.5293025970458984,-4.168266296386719,-0.17626342177391052,-0.041590116918087006,1.0431679487228394,,,
,,,,,,,32767.0,32767.0,90.0
57.578,-8.761899948120117,-4.196351051330566,-5.441598415374756,-0.18126538395881653,-0.041555255651474,1.0414083003997803,,,
,,,,,,,32767.0,32767.0,90.0
57.588,-8.568400382995605,-3.494793176651001,-7.061679840087891,-0.18748708069324493,-0.041228923946619034,1.0314561128616333,,,
,,,,,,,32767.0,32767.0,90.0
57.598,-7.661975860595703,-3.913553237915039,-8.167152404785156,-0.1986771821975708,-0.029882825911045074,1.021101713180542,,,
,,,,,,,32767.0,32767.0,90.0
57.609,-7.576976776123047,-3.3081400394439697,-9.084676742553711,-0.2074277698993683,-0.00373586593195796,1.0052666664123535,,,
,,,,,,,32767.0,32767.0,90.0
57.618,-6.936871528625488,-2.1197335720062256,-9.071344375610352,-0.2105107456445694,0.0049856556579470634,0.9835625290870667,,,
,,,,,,,32767.0,32767.0,90.0
57.628,-6.378418922424316,-1.0570714473724365,-9.66381549835205,-0.21656987071037292,-0.005551038775593042,0.959782600402832,,,
,,,,,,,32767.0,32767.0,90.0
57.638,-5.415106773376465,0.05228602886199951,-9.581563949584961,-0.21556559205055237,0.0009391329949721694,0.9442429542541504,,,
,,,,,,,32767.0,32767.0,90.0
57.648,-4.609249591827393,1.7639604806900024,-9.555755615234375,-0.21121519804000854,0.010387163609266281,0.92930668592453,,,
,,,,,,,32767.0,32767.0,90.0
57.658,-3.0495872497558594,3.643338441848755,-9.469274520874023,-0.19736260175704956,0.014922250993549824,0.9319382309913635,,,
,,,,,,,32767.0,32767.0,90.0
57.668,-1.7857505083084106,4.247596740722656,-9.431219100952148,-0.19197288155555725,0.027314435690641403,0.9447845816612244,,,
,,,,,,,32767.0,32767.0,90.0
57.678,-0.3953740894794464,4.191169738769531,-8.629389762878418,-0.18998102843761444,0.049056969583034515,0.9547526836395264,,,
,,,,,,,32767.0,32767.0,90.0
57.688,0.2554260492324829,4.23953914642334,-7.116994857788086,-0.18286781013011932,0.05522509664297104,0.9552878737449646,,,
,,,,,,,32767.0,32767.0,90.0
57.698,1.1127102375030518,5.039444923400879,-5.676659107208252,-0.17746120691299438,0.05709795281291008,0.9605574607849121,,,
,,,,,,,32767.0,32767.0,90.0
57.708,2.078015089035034,4.100280284881592,-4.949164390563965,-0.17685683071613312,0.04662666469812393,0.9748232364654541,,,
,,,,,,,32767.0,32767.0,90.0
57.718,3.339568853378296,3.2230329513549805,-4.544225215911865,-0.17518459260463715,0.031476788222789764,0.9806421995162964,,,
,,,,,,,32767.0,32767.0,90.0
57.728,4.113482475280762,2.3633573055267334,-3.8420374393463135,-0.18160086870193481,0.02727469801902771,0.9762083292007446,,,
,,,,,,,32767.0,32767.0,90.0
57.738,4.318732261657715,1.5588414669036865,-2.936213731765747,-0.1863628774881363,0.028012337163090706,0.9703188538551331,,,
,,,,,,,32767.0,32767.0,90.0
57.748,4.639912128448486,0.8096901774406433,-1.9938392639160156,-0.19162997603416443,0.02973444014787674,0.9740151762962341,,,
,,,,,,,32767.0,32767.0,90.0
